,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
8,Tosin Adarabioyo,eng ENG,DF,25-065,10,10,900.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.01,0.0,0.02,0.01,0.02,Matches,Fulham
9,Neeskens Kebano,cd COD,FW,30-263,12,9,713.0,7.9,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.0,0.38,0.5,0.5,1.4,1.8,0.06,0.17,0.23,0.06,0.23,Matches,Fulham
10,Kenny Tete,nl NED,DF,27-050,9,8,708.0,7.9,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.38,0.38,0.0,0.38,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches,Fulham
11,Issa Diop,fr FRA,DF,25-323,8,6,598.0,6.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15,0.3,0.3,0.0,0.3,0.04,0.01,0.04,0.04,0.04,Matches,Fulham
12,Willian,br BRA,FW,34-111,8,6,564.0,6.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.32,0.16,0.32,1.7,1.7,1.2,2.9,0.27,0.2,0.47,0.27,0.47,Matches,Fulham
13,Carlos Vinícius,br BRA,FW,27-248,9,3,327.0,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,0.09,0.11,0.2,0.09,0.2,Matches,Fulham
14,Daniel James,wls WAL,FW,25-018,8,3,307.0,3.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,1.3,1.3,0.3,1.6,0.39,0.09,0.48,0.39,0.48,Matches,Fulham
15,Harry Wilson,wls WAL,FW,25-251,7,3,268.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.13,0.02,0.16,0.13,0.16,Matches,Fulham
16,Marek Rodák,sk SVK,GK,25-350,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
17,Tom Cairney,sct SCO,MF,31-312,15,1,343.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.12,0.13,0.25,0.12,0.25,Matches,Fulham
18,Kevin Mbabu,ch SUI,"DF,FW",27-223,6,1,144.0,1.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.62,0.62,0.0,0.62,0.0,0.0,0.4,0.4,0.0,0.25,0.25,0.0,0.25,Matches,Fulham
19,Jay Stansfield,eng ENG,FW,20-004,3,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,0.26,0.09,0.35,0.26,0.35,Matches,Fulham
20,Layvin Kurzawa,fr FRA,DF,30-085,1,1,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
21,Nathaniel Chalobah,eng ENG,MF,27-351,3,1,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.77,0.0,0.77,0.77,0.77,Matches,Fulham
22,Manor Solomon,il ISR,FW,23-127,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
23,Josh Onomah,eng ENG,MF,25-215,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
24,Luke Harris,wls WAL,"FW,MF",17-239,2,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
25,Shane Duffy,ie IRL,"FW,DF",30-331,4,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
26,Tyrese Francois,au AUS,FW,22-135,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
27,Terry Ablade,fi FIN,FW,21-047,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
28,Martial Godo,,MF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
29,Rodrigo Muniz,br BRA,FW,21-208,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
30,Stefan Parkes,eng ENG,DF,18-245,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
31,Kristian Sekularac,eng ENG,MF,18-356,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
32,Squad Total,,,28.6,15,165,1350.0,15.0,22.0,14.0,18.0,4.0,5.0,36.0,1.0,1.47,0.93,2.4,1.2,2.13,19.6,15.8,11.3,27.0,1.31,0.75,2.06,1.05,1.8,,Fulham
33,Opponent Total,,,27.0,15,165,1350.0,15.0,26.0,16.0,23.0,3.0,3.0,21.0,2.0,1.73,1.07,2.8,1.53,2.6,27.3,25.5,19.2,44.7,1.82,1.28,3.1,1.7,2.98,,Fulham
0,David Raya,es ESP,GK,27-074,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford
1,Rico Henry,eng ENG,DF,25-143,15,15,1346.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.5,0.5,0.8,1.4,0.04,0.05,0.09,0.04,0.09,Matches,Brentford
2,Mathias Jensen,dk DEN,MF,26-331,15,15,1127.0,12.5,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.08,0.24,0.32,0.08,0.32,0.5,0.5,2.0,2.4,0.04,0.16,0.19,0.04,0.19,Matches,Brentford
3,Bryan Mbeumo,cm CMR,FW,23-113,15,15,1120.0,12.4,3.0,1.0,2.0,1.0,1.0,3.0,0.0,0.24,0.08,0.32,0.16,0.24,3.6,2.8,1.6,4.4,0.29,0.13,0.41,0.22,0.35,Matches,Brentford
4,Ivan Toney,eng ENG,FW,26-257,14,14,1260.0,14.0,10.0,2.0,7.0,3.0,3.0,5.0,0.0,0.71,0.14,0.86,0.5,0.64,8.0,5.7,2.1,7.7,0.57,0.15,0.72,0.41,0.55,Matches,Brentford
5,Ben Mee,eng ENG,DF,33-068,14,14,1208.0,13.4,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15,1.2,1.2,0.1,1.3,0.09,0.01,0.1,0.09,0.1,Matches,Brentford
6,Vitaly Janelt,de GER,"MF,DF",24-202,15,11,990.0,11.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09,0.09,0.18,0.09,0.18,1.0,1.0,0.7,1.6,0.09,0.06,0.15,0.09,0.15,Matches,Brentford
7,Aaron Hickey,sct SCO,DF,20-171,9,8,679.0,7.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Matches,Brentford
8,Josh Dasilva,eng ENG,MF,24-036,15,7,687.0,7.6,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.26,0.13,0.39,0.26,0.39,0.5,0.5,1.1,1.5,0.06,0.14,0.2,0.06,0.2,Matches,Brentford
9,Ethan Pinnock,jm JAM,DF,29-183,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.02,0.02,0.04,0.02,0.04,Matches,Brentford
10,Yoane Wissa,cd COD,FW,26-086,15,6,642.0,7.1,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.42,0.14,0.56,0.42,0.56,2.6,2.6,1.0,3.7,0.37,0.15,0.52,0.37,0.52,Matches,Brentford
11,Pontus Jansson,se SWE,DF,31-288,6,6,514.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford
12,Kristoffer Ajer,no NOR,DF,24-225,6,6,502.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Brentford
13,Mathias Jørgensen,dk DEN,DF,32-219,8,5,457.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.08,0.01,0.1,0.08,0.1,Matches,Brentford
14,Mads Roerslev,dk DEN,DF,23-157,7,5,433.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.02,0.11,0.13,0.02,0.13,Matches,Brentford
15,Frank Onyeka,ng NGA,MF,24-331,12,4,442.0,4.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.4,0.4,0.5,0.9,0.07,0.11,0.18,0.07,0.18,Matches,Brentford
16,Shandon Baptiste,gd GRN,MF,24-234,12,4,431.0,4.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.9,0.04,0.15,0.19,0.04,0.19,Matches,Brentford
17,Christian Nørgaard,dk DEN,MF,28-263,5,4,338.0,3.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,0.4,0.4,0.1,0.5,0.11,0.03,0.13,0.11,0.13,Matches,Brentford
18,Keane Lewis-Potter,eng ENG,"FW,MF",21-279,7,3,287.0,3.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.0,0.31,0.5,0.5,1.2,1.7,0.15,0.39,0.54,0.15,0.54,Matches,Brentford
19,Mikkel Damsgaard,dk DEN,"MF,FW",22-148,9,1,267.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,0.14,0.12,0.27,0.14,0.27,Matches,Brentford
20,Sergi Canós,es ESP,"FW,DF",25-299,4,0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.09,0.03,0.12,0.09,0.12,Matches,Brentford
21,Saman Ghoddos,ir IRN,"MF,FW",29-083,6,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford
22,Mads Bech Sørensen,dk DEN,"DF,MF",23-325,3,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford
23,Halil Dervişoğlu,tr TUR,MF,22-355,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches,Brentford
24,Matthew Cox,eng ENG,GK,19-210,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
25,Tristan Crama,fr FRA,MF,21-020,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
26,Finley Stevens,wls WAL,DF,19-232,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
27,Thomas Strakosha,al ALB,GK,27-254,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
28,Ryan Trevitt,eng ENG,MF,19-261,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
29,Yehor Yarmoliuk,ua UKR,MF,18-272,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
30,Squad Total,,,26.4,15,165,1350.0,15.0,23.0,12.0,19.0,4.0,4.0,21.0,0.0,1.53,0.8,2.33,1.27,2.07,20.3,17.2,12.9,30.2,1.35,0.86,2.22,1.15,2.01,,Brentford
31,Opponent Total,,,27.0,15,165,1350.0,15.0,23.0,17.0,22.0,1.0,1.0,24.0,1.0,1.53,1.13,2.67,1.47,2.6,20.3,19.6,15.1,34.7,1.35,1.01,2.36,1.31,2.31,,Brentford
0,Vicente Guaita,es ESP,GK,35-322,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
1,Marc Guéhi,eng ENG,DF,22-138,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,Crystal-Palace
2,Eberechi Eze,eng ENG,"MF,FW",24-152,14,14,1139.0,12.7,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.16,0.24,0.4,0.16,0.4,2.0,2.0,2.1,4.1,0.16,0.17,0.33,0.16,0.33,Matches,Crystal-Palace
3,Joachim Andersen,dk DEN,DF,26-181,13,13,1170.0,13.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,0.9,0.9,0.4,1.2,0.07,0.03,0.09,0.07,0.09,Matches,Crystal-Palace
4,Wilfried Zaha,ci CIV,"FW,MF",30-018,13,13,1147.0,12.7,6.0,2.0,6.0,0.0,2.0,3.0,0.0,0.47,0.16,0.63,0.47,0.63,4.6,2.9,1.6,4.5,0.36,0.13,0.49,0.23,0.36,Matches,Crystal-Palace
5,Jeffrey Schlupp,gh GHA,MF,29-340,14,12,1094.0,12.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,1.3,0.08,0.03,0.11,0.08,0.11,Matches,Crystal-Palace
6,Tyrick Mitchell,eng ENG,DF,23-088,14,12,977.0,10.9,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.18,0.18,0.0,0.18,0.1,0.1,0.6,0.7,0.01,0.06,0.07,0.01,0.07,Matches,Crystal-Palace
7,Cheick Doucouré,ml MLI,MF,22-324,12,12,963.0,10.7,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.09,0.09,0.0,0.09,0.4,0.4,1.0,1.3,0.03,0.09,0.13,0.03,0.13,Matches,Crystal-Palace
8,Joel Ward,eng ENG,DF,33-030,12,11,1021.0,11.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
9,Jordan Ayew,gh GHA,"FW,MF",31-078,14,11,904.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,0.7,0.7,1.2,1.9,0.07,0.12,0.19,0.07,0.19,Matches,Crystal-Palace
10,Odsonne Édouard,fr FRA,FW,24-316,13,9,767.0,8.5,3.0,2.0,3.0,0.0,0.0,3.0,0.0,0.35,0.23,0.59,0.35,0.59,1.9,1.9,0.8,2.7,0.22,0.09,0.32,0.22,0.32,Matches,Crystal-Palace
11,Michael Olise,fr FRA,"MF,FW",20-351,13,8,754.0,8.4,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.12,0.24,0.36,0.12,0.36,0.9,0.9,1.7,2.5,0.1,0.2,0.3,0.1,0.3,Matches,Crystal-Palace
12,Nathaniel Clyne,eng ENG,DF,31-237,8,7,580.0,6.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.05,0.05,0.0,0.05,Matches,Crystal-Palace
13,Jean-Philippe Mateta,fr FRA,FW,25-153,11,2,283.0,3.1,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.32,0.0,0.32,0.32,0.32,1.2,1.2,0.5,1.7,0.37,0.16,0.53,0.37,0.53,Matches,Crystal-Palace
14,Luka Milivojević,rs SRB,MF,31-235,9,2,279.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.08,0.01,0.09,0.08,0.09,Matches,Crystal-Palace
15,Will Hughes,eng ENG,MF,27-225,8,0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.14,0.0,0.14,0.14,0.14,Matches,Crystal-Palace
16,James Tomkins,eng ENG,DF,33-244,1,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
17,Chris Richards,us USA,DF,22-245,3,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.14,0.49,0.63,0.14,0.63,Matches,Crystal-Palace
18,Jaïro Riedewald,nl NED,"DF,FW",26-080,3,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
19,Malcolm Ebiowei,eng ENG,"MF,FW",19-085,3,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
20,Kofi Balmer,nir NIR,DF,22-070,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
21,Owen Goodman,eng ENG,GK,19-001,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
22,John-Kymani Gordon,eng ENG,FW,19-288,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
23,Sam Johnstone,eng ENG,GK,29-248,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
24,Killian Phillips,ie IRL,DF,20-243,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
25,Luke Plange,eng ENG,FW,20-024,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
26,Kaden Rodney,eng ENG,MF,18-052,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
27,Jack Wells-Morrison,eng ENG,MF,18-283,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
28,Joseph Whitworth,eng ENG,GK,18-272,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
29,Squad Total,,,27.6,14,154,1260.0,14.0,14.0,13.0,14.0,0.0,2.0,32.0,0.0,1.0,0.93,1.93,1.0,1.93,14.0,12.4,10.8,23.2,1.0,0.77,1.78,0.88,1.66,,Crystal-Palace
30,Opponent Total,,,26.8,14,154,1260.0,14.0,17.0,14.0,17.0,0.0,0.0,27.0,1.0,1.21,1.0,2.21,1.21,2.21,18.3,18.3,13.6,31.9,1.31,0.97,2.28,1.31,2.28,,Crystal-Palace
0,Emiliano Martínez,ar ARG,GK,30-087,15,15,1294.0,14.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.02,0.02,0.0,0.02,Matches,Aston-Villa
1,Ezri Konsa,eng ENG,DF,25-036,15,14,1261.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.9,0.03,0.03,0.07,0.03,0.07,Matches,Aston-Villa
2,Ollie Watkins,eng ENG,FW,26-333,14,13,1172.0,13.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.15,0.23,0.38,0.15,0.38,4.3,4.3,1.9,6.2,0.33,0.15,0.48,0.33,0.48,Matches,Aston-Villa
3,Tyrone Mings,eng ENG,DF,29-260,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.01,0.0,0.01,Matches,Aston-Villa
4,John McGinn,sct SCO,MF,28-041,15,12,1056.0,11.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,1.7,0.09,0.06,0.15,0.09,0.15,Matches,Aston-Villa
5,Matty Cash,pl POL,DF,25-113,13,12,1028.0,11.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.8,0.02,0.06,0.07,0.02,0.07,Matches,Aston-Villa
6,Jacob Ramsey,eng ENG,MF,21-184,15,12,1021.0,11.3,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.18,0.18,0.35,0.18,0.35,1.1,1.1,1.2,2.3,0.1,0.11,0.21,0.1,0.21,Matches,Aston-Villa
7,Leon Bailey,jm JAM,"FW,MF",25-111,14,11,827.0,9.2,3.0,2.0,3.0,0.0,0.0,4.0,0.0,0.33,0.22,0.54,0.33,0.54,1.9,1.9,2.0,4.0,0.21,0.22,0.43,0.21,0.43,Matches,Aston-Villa
8,Douglas Luiz,br BRA,MF,24-203,14,10,930.0,10.3,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.1,0.19,0.29,0.1,0.29,0.2,0.2,1.3,1.6,0.02,0.13,0.15,0.02,0.15,Matches,Aston-Villa
9,Lucas Digne,fr FRA,DF,29-131,10,9,811.0,9.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.11,0.0,0.11,0.11,0.11,0.2,0.2,0.5,0.7,0.02,0.06,0.08,0.02,0.08,Matches,Aston-Villa
10,Danny Ings,eng ENG,FW,30-128,14,8,726.0,8.1,5.0,0.0,3.0,2.0,2.0,3.0,0.0,0.62,0.0,0.62,0.37,0.37,3.8,2.2,0.4,2.6,0.47,0.04,0.52,0.28,0.32,Matches,Aston-Villa
11,Boubacar Kamara,fr FRA,MF,23-005,9,8,669.0,7.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,Aston-Villa
12,Ashley Young,eng ENG,DF,37-142,11,7,729.0,8.1,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.12,0.0,0.12,0.12,0.12,0.2,0.2,0.7,0.9,0.02,0.09,0.11,0.02,0.11,Matches,Aston-Villa
13,Emi Buendía,ar ARG,"FW,MF",25-338,15,7,726.0,8.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,2.6,2.6,0.8,3.4,0.32,0.1,0.43,0.32,0.43,Matches,Aston-Villa
14,Philippe Coutinho,br BRA,"MF,FW",30-169,12,6,571.0,6.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,1.3,0.16,0.05,0.2,0.16,0.2,Matches,Aston-Villa
15,Leander Dendoncker,be BEL,MF,27-227,8,3,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.01,0.1,0.11,0.01,0.11,Matches,Aston-Villa
16,Diego Carlos,br BRA,DF,29-258,2,2,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.18,0.0,0.18,0.18,0.18,Matches,Aston-Villa
17,Calum Chambers,eng ENG,DF,27-312,3,1,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa
18,Jan Bednarek,pl POL,DF,26-230,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa
19,Ludwig Augustinsson,se SWE,DF,28-221,2,1,53.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa
20,Robin Olsen,se SWE,GK,32-324,1,0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa
21,Cameron Archer,eng ENG,"FW,MF",21-130,6,0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa
22,Morgan Sanson,fr FRA,MF,28-102,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa
23,Lamare Bogarde,nl NED,MF,18-327,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa
24,Tim Iroegbunam,eng ENG,MF,19-151,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa
25,Marvelous Nakamba,zw ZIM,MF,28-313,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa
26,Squad Total,,,27.4,15,165,1350.0,15.0,16.0,9.0,14.0,2.0,2.0,37.0,1.0,1.07,0.6,1.67,0.93,1.53,17.1,15.7,11.7,27.4,1.14,0.78,1.92,1.04,1.83,,Aston-Villa
27,Opponent Total,,,26.8,15,165,1350.0,15.0,19.0,9.0,17.0,2.0,3.0,26.0,1.0,1.27,0.6,1.87,1.13,1.73,19.3,16.9,11.6,28.5,1.29,0.77,2.06,1.13,1.9,,Aston-Villa
0,Danny Ward,wls WAL,GK,29-159,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City
