,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
7,Emerson,br BRA,DF,23-318,12,11,899.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,0.3,1.3,0.1,0.03,0.13,0.1,0.13,Matches,Tottenham-Hotspur
8,Ivan Perišić,hr CRO,"DF,MF",33-299,15,9,833.0,9.3,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.43,0.43,0.0,0.43,0.9,0.9,3.0,3.9,0.1,0.32,0.43,0.1,0.43,Matches,Tottenham-Hotspur
9,Ryan Sessegnon,eng ENG,DF,22-194,12,8,662.0,7.4,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.27,0.0,0.27,0.27,0.27,1.4,1.4,0.7,2.1,0.19,0.1,0.28,0.19,0.28,Matches,Tottenham-Hotspur
10,Cristian Romero,ar ARG,DF,24-215,8,7,658.0,7.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,0.09,0.03,0.12,0.09,0.12,Matches,Tottenham-Hotspur
11,Dejan Kulusevski,se SWE,"MF,FW",22-217,9,7,611.0,6.8,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.15,0.74,0.88,0.15,0.88,1.0,1.0,2.2,3.1,0.14,0.32,0.46,0.14,0.46,Matches,Tottenham-Hotspur
12,Clément Lenglet,fr FRA,DF,27-164,8,7,571.0,6.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,0.6,0.6,0.4,1.0,0.09,0.06,0.15,0.09,0.15,Matches,Tottenham-Hotspur
13,Yves Bissouma,ml MLI,MF,26-090,14,6,606.0,6.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Matches,Tottenham-Hotspur
14,Davinson Sánchez,co COL,DF,26-169,10,6,531.0,5.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.05,0.01,0.07,0.05,0.07,Matches,Tottenham-Hotspur
15,Richarlison,br BRA,"MF,FW",25-202,10,5,439.0,4.9,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.41,0.41,0.0,0.41,1.6,1.6,1.3,3.0,0.34,0.28,0.61,0.34,0.61,Matches,Tottenham-Hotspur
16,Matt Doherty,ie IRL,DF,30-316,8,3,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.06,0.02,0.08,0.06,0.08,Matches,Tottenham-Hotspur
